window,train_start,train_end,val_start,val_end,train_samples,regime_dist,blend_dist,feature_count,val_samples,regime_accuracy,blend_accuracy,cumulative_return,gross_cumulative_return,max_drawdown,max_drawdown_duration,return_metrics,regime_dist_true,regime_dist_pred,blend_dist_true,blend_dist_pred
1,2017-01-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,1086,"{'chop': 641, 'trend_up': 337, 'trend_down': 108}","{1: 763, -1: 308, 0: 15}",49,186,0.7419354838709677,0.7580645161290323,-0.13658152617520347,-0.13394837572596163,-0.2884290903248341,12,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.003, 'samples': 15, 'trade_count': 15, 'trade_rate': 0.08064516129032258, 'turnover': 0.16129032258064516, 'cumulative_return': -0.13658152617520347, 'gross_cumulative_return': -0.13394837572596163, 'gross_mean_return': -0.0047447522481282554, 'gross_volatility': 0.09782860969789207, 'gross_sharpe_like': -0.04850066113359568, 'cost_impact': 0.002633150449241839, 'mean_return': -0.0049447522481282586, 'volatility': 0.09782860969789207, 'sharpe_like': -0.05054505285721957, 'win_rate': 0.5333333333333333, 'avg_trade_return': -0.0049447522481282586, 'profit_factor': 0.8661421697131754, 'expectancy': -0.004944752248128258, 'avg_win': 0.059991705822944635, 'avg_loss': -0.07915784718649728, 'gross_profit': 0.4799336465835571, 'gross_loss': -0.5541049303054809, 'max_drawdown': -0.2884290903248341, 'max_drawdown_duration': 12}","{'chop': 125, 'trend_down': 37, 'trend_up': 24}","{'chop': 117, 'trend_down': 56, 'trend_up': 13}","{1: 96, -1: 85, 0: 5}","{1: 111, -1: 75}"
2,2017-02-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,1086,"{'chop': 654, 'trend_up': 316, 'trend_down': 116}","{1: 732, -1: 341, 0: 13}",49,186,0.5752688172043011,0.6129032258064516,0.2643550338053484,0.26810168262171397,-0.11517937434376291,8,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.003, 'samples': 15, 'trade_count': 15, 'trade_rate': 0.08064516129032258, 'turnover': 0.16129032258064516, 'cumulative_return': 0.2643550338053484, 'gross_cumulative_return': 0.26810168262171397, 'gross_mean_return': 0.0179710586865743, 'gross_volatility': 0.06686338587188287, 'gross_sharpe_like': 0.26877278875779187, 'cost_impact': 0.00374664881636555, 'mean_return': 0.017771058686574297, 'volatility': 0.06686338587188287, 'sharpe_like': 0.2657816150774278, 'win_rate': 0.6, 'avg_trade_return': 0.017771058686574297, 'profit_factor': 2.117366783160873, 'expectancy': 0.017771058686574297, 'avg_win': 0.05612578002081977, 'avg_loss': -0.03976102331479391, 'gross_profit': 0.5051320201873779, 'gross_loss': -0.23856613988876346, 'max_drawdown': -0.11517937434376291, 'max_drawdown_duration': 8}","{'chop': 117, 'trend_up': 69}","{'trend_up': 130, 'chop': 38, 'trend_down': 18}","{1: 136, -1: 47, 0: 3}","{1: 112, -1: 74}"
3,2017-03-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,1104,"{'chop': 669, 'trend_up': 322, 'trend_down': 113}","{1: 736, -1: 356, 0: 12}",49,180,0.7888888888888889,0.6888888888888889,-0.28744824919426426,-0.28539448181476923,-0.3750895946028212,12,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0028, 'samples': 14, 'trade_count': 14, 'trade_rate': 0.07777777777777778, 'turnover': 0.15555555555555556, 'cumulative_return': -0.28744824919426426, 'gross_cumulative_return': -0.28539448181476923, 'gross_mean_return': -0.02044437187058585, 'gross_volatility': 0.08236334825905678, 'gross_sharpe_like': -0.2482217187951409, 'cost_impact': 0.0020537673794950306, 'mean_return': -0.02064437187058585, 'volatility': 0.08236334825905678, 'sharpe_like': -0.2506499833597497, 'win_rate': 0.35714285714285715, 'avg_trade_return': -0.02064437187058585, 'profit_factor': 0.5421605927825422, 'expectancy': -0.020644371870585845, 'avg_win': 0.06845016222000122, 'avg_loss': -0.07014133525424533, 'gross_profit': 0.3422508111000061, 'gross_loss': -0.631272017288208, 'max_drawdown': -0.3750895946028212, 'max_drawdown_duration': 12}","{'chop': 156, 'trend_down': 12, 'trend_up': 12}","{'chop': 148, 'trend_up': 21, 'trend_down': 11}","{-1: 91, 1: 87, 0: 2}","{1: 141, -1: 39}"
4,2017-04-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,1098,"{'chop': 677, 'trend_up': 333, 'trend_down': 88}","{1: 728, -1: 357, 0: 13}",49,186,0.8064516129032258,0.44086021505376344,-0.19043943033310928,-0.18796868681654166,-0.23046259659381008,10,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.003, 'samples': 15, 'trade_count': 15, 'trade_rate': 0.08064516129032258, 'turnover': 0.16129032258064516, 'cumulative_return': -0.19043943033310928, 'gross_cumulative_return': -0.18796868681654166, 'gross_mean_return': -0.012168018023173015, 'gross_volatility': 0.058086847018003374, 'gross_sharpe_like': -0.20947974710009087, 'cost_impact': 0.0024707435165676195, 'mean_return': -0.012368018023173019, 'volatility': 0.05808684701800338, 'sharpe_like': -0.21292286736340996, 'win_rate': 0.4666666666666667, 'avg_trade_return': -0.012368018023173019, 'profit_factor': 0.601330221717621, 'expectancy': -0.012368018023173017, 'avg_win': 0.03997542089734759, 'avg_loss': -0.058168527078628546, 'gross_profit': 0.27982794628143315, 'gross_loss': -0.46534821662902837, 'max_drawdown': -0.23046259659381008, 'max_drawdown_duration': 10}","{'chop': 135, 'trend_up': 51}","{'chop': 99, 'trend_up': 87}","{1: 126, -1: 57, 0: 3}","{-1: 138, 1: 48}"
5,2017-05-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,1104,"{'chop': 711, 'trend_up': 305, 'trend_down': 88}","{1: 706, -1: 386, 0: 12}",49,180,0.6166666666666667,0.65,-0.019283899617662525,-0.016520076181040122,-0.26263451154396955,7,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0028, 'samples': 14, 'trade_count': 14, 'trade_rate': 0.07777777777777778, 'turnover': 0.15555555555555556, 'cumulative_return': -0.019283899617662525, 'gross_cumulative_return': -0.016520076181040122, 'gross_mean_return': 0.0023559502192905973, 'gross_volatility': 0.08493379668404032, 'gross_sharpe_like': 0.027738666011304043, 'cost_impact': 0.0027638234366224035, 'mean_return': 0.0021559502192905924, 'volatility': 0.08493379668404032, 'sharpe_like': 0.02538389078862068, 'win_rate': 0.5714285714285714, 'avg_trade_return': 0.0021559502192905924, 'profit_factor': 1.0679843024567715, 'expectancy': 0.0021559502192905963, 'avg_win': 0.05926973711252212, 'avg_loss': -0.07399576563835143, 'gross_profit': 0.47415789690017696, 'gross_loss': -0.4439745938301086, 'max_drawdown': -0.26263451154396955, 'max_drawdown_duration': 7}","{'chop': 100, 'trend_up': 63, 'trend_down': 17}","{'chop': 169, 'trend_down': 11}","{1: 133, -1: 43, 0: 4}","{1: 134, -1: 46}"
6,2017-06-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,1098,"{'chop': 661, 'trend_up': 339, 'trend_down': 98}","{1: 696, -1: 388, 0: 14}",49,186,0.4946236559139785,0.5860215053763441,0.08144719218758589,0.08469551561833777,-0.31019063177618345,7,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.003, 'samples': 15, 'trade_count': 15, 'trade_rate': 0.08064516129032258, 'turnover': 0.16129032258064516, 'cumulative_return': 0.08144719218758589, 'gross_cumulative_return': 0.08469551561833777, 'gross_mean_return': 0.010509896278381347, 'gross_volatility': 0.10478311564912389, 'gross_sharpe_like': 0.10030142941707061, 'cost_impact': 0.003248323430751876, 'mean_return': 0.010309896278381346, 'volatility': 0.10478311564912389, 'sharpe_like': 0.0983927249587138, 'win_rate': 0.5333333333333333, 'avg_trade_return': 0.010309896278381346, 'profit_factor': 1.2611116447969661, 'expectancy': 0.010309896278381345, 'avg_win': 0.09336473386287689, 'avg_loss': -0.08460991810389927, 'gross_profit': 0.7469178709030151, 'gross_loss': -0.5922694267272949, 'max_drawdown': -0.31019063177618345, 'max_drawdown_duration': 7}","{'chop': 153, 'trend_up': 28, 'trend_down': 5}","{'trend_up': 117, 'chop': 69}","{1: 105, -1: 80, 0: 1}","{1: 168, -1: 16, 0: 2}"
7,2017-07-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,1104,"{'chop': 669, 'trend_up': 362, 'trend_down': 73}","{1: 696, -1: 395, 0: 13}",49,186,0.8118279569892473,0.7849462365591398,-0.05618848467163018,-0.0533265369999637,-0.3441910933228014,7,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.003, 'samples': 15, 'trade_count': 15, 'trade_rate': 0.08064516129032258, 'turnover': 0.16129032258064516, 'cumulative_return': -0.05618848467163018, 'gross_cumulative_return': -0.0533265369999637, 'gross_mean_return': 0.0017516493797302246, 'gross_volatility': 0.10737008873420308, 'gross_sharpe_like': 0.016314128081485243, 'cost_impact': 0.002861947671666476, 'mean_return': 0.0015516493797302188, 'volatility': 0.10737008873420308, 'sharpe_like': 0.014451411915765103, 'win_rate': 0.4666666666666667, 'avg_trade_return': 0.0015516493797302188, 'profit_factor': 1.0383909951746333, 'expectancy': 0.0015516493797302286, 'avg_win': 0.08993284955705916, 'avg_loss': -0.07578190077543259, 'gross_profit': 0.6295299468994141, 'gross_loss': -0.6062552062034607, 'max_drawdown': -0.3441910933228014, 'max_drawdown_duration': 7}","{'chop': 152, 'trend_down': 24, 'trend_up': 10}","{'chop': 185, 'trend_up': 1}","{-1: 95, 1: 89, 0: 2}","{1: 96, -1: 89, 0: 1}"
8,2017-08-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,1104,"{'chop': 724, 'trend_up': 332, 'trend_down': 48}","{1: 685, -1: 409, 0: 10}",49,168,0.7678571428571429,0.6964285714285714,0.37820489040706406,0.3817186028405948,-0.18771473708874375,3,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0026000000000000003, 'samples': 13, 'trade_count': 13, 'trade_rate': 0.07738095238095238, 'turnover': 0.15476190476190477, 'cumulative_return': 0.37820489040706406, 'gross_cumulative_return': 0.3817186028405948, 'gross_mean_return': 0.028956312399644118, 'gross_volatility': 0.08934894292304144, 'gross_sharpe_like': 0.3240811972961442, 'cost_impact': 0.0035137124335307135, 'mean_return': 0.028756312399644123, 'volatility': 0.08934894292304144, 'sharpe_like': 0.3218427824536512, 'win_rate': 0.7692307692307693, 'avg_trade_return': 0.028756312399644123, 'profit_factor': 2.1265811450246477, 'expectancy': 0.028756312399644126, 'avg_win': 0.07056608538627625, 'avg_loss': -0.11060959755579632, 'gross_profit': 0.7056608538627624, 'gross_loss': -0.33182879266738896, 'max_drawdown': -0.18771473708874375, 'max_drawdown_duration': 3}","{'chop': 131, 'trend_up': 33, 'trend_down': 4}","{'chop': 142, 'trend_up': 17, 'trend_down': 9}","{1: 99, -1: 68, 0: 1}","{1: 97, -1: 71}"
9,2017-09-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,1086,"{'chop': 726, 'trend_up': 278, 'trend_down': 82}","{1: 642, -1: 436, 0: 8}",49,186,0.8010752688172043,0.6989247311827957,-0.1484099823736058,-0.14581433380027153,-0.2833894559062683,9,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.003, 'samples': 15, 'trade_count': 15, 'trade_rate': 0.08064516129032258, 'turnover': 0.16129032258064516, 'cumulative_return': -0.1484099823736058, 'gross_cumulative_return': -0.14581433380027153, 'gross_mean_return': -0.0066833019256591795, 'gross_volatility': 0.09042932927074246, 'gross_sharpe_like': -0.07390635294495651, 'cost_impact': 0.002595648573334275, 'mean_return': -0.006883301925659185, 'volatility': 0.09042932927074246, 'sharpe_like': -0.07611802477325474, 'win_rate': 0.5333333333333333, 'avg_trade_return': -0.006883301925659185, 'profit_factor': 0.8224993542079577, 'expectancy': -0.006883301925659183, 'avg_win': 0.059804480183124537, 'avg_loss': -0.08309791004998343, 'gross_profit': 0.4784358414649963, 'gross_loss': -0.581685370349884, 'max_drawdown': -0.2833894559062683, 'max_drawdown_duration': 9}","{'chop': 145, 'trend_down': 41}","{'chop': 130, 'trend_down': 56}","{-1: 127, 1: 58, 0: 1}","{1: 99, -1: 87}"
10,2017-10-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,2018-05-01 00:00:00+00:00,1092,"{'chop': 738, 'trend_up': 247, 'trend_down': 107}","{1: 613, -1: 472, 0: 7}",49,180,0.9444444444444444,0.6888888888888889,0.2710158498990656,0.27452282536451134,-0.07494694323205531,2,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0028, 'samples': 14, 'trade_count': 14, 'trade_rate': 0.07777777777777778, 'turnover': 0.15555555555555556, 'cumulative_return': 0.2710158498990656, 'gross_cumulative_return': 0.27452282536451134, 'gross_mean_return': 0.018670231103897095, 'gross_volatility': 0.05126060668427366, 'gross_sharpe_like': 0.36422181303650025, 'cost_impact': 0.0035069754654457608, 'mean_return': 0.01847023110389709, 'volatility': 0.05126060668427366, 'sharpe_like': 0.360320181492577, 'win_rate': 0.5714285714285714, 'avg_trade_return': 0.01847023110389709, 'profit_factor': 2.472665888774598, 'expectancy': 0.01847023110389709, 'avg_win': 0.05427147041559219, 'avg_loss': -0.029264754645029704, 'gross_profit': 0.4341717633247375, 'gross_loss': -0.17558852787017823, 'max_drawdown': -0.07494694323205531, 'max_drawdown_duration': 2}","{'chop': 120, 'trend_up': 60}","{'chop': 120, 'trend_up': 55, 'trend_down': 5}","{1: 126, -1: 51, 0: 3}","{1: 108, -1: 72}"
