window,train_start,train_end,val_start,val_end,train_samples,regime_dist,blend_dist,feature_count,val_samples,regime_accuracy,blend_accuracy,cumulative_return,gross_cumulative_return,max_drawdown,max_drawdown_duration,return_metrics,regime_dist_true,regime_dist_pred,blend_dist_true,blend_dist_pred
2,2022-01-31 23:55:00+00:00,2023-01-31 21:55:00+00:00,2023-01-31 23:55:00+00:00,2023-03-31 23:55:00+00:00,105096,"{'chop': 60318, 'trend_down': 24048, 'trend_up': 20730}","{1: 47179, -1: 46871, 0: 11046}",49,16992,0.8094985875706214,0.5627354048964218,0.33737283644754834,0.5403971999181147,-0.13895333635163298,193,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.1414, 'samples': 707, 'trade_count': 707, 'trade_rate': 0.0416078154425612, 'turnover': 0.0832156308851224, 'cumulative_return': 0.33737283644754834, 'gross_cumulative_return': 0.5403971999181147, 'gross_mean_return': 0.0006502827120973838, 'gross_volatility': 0.008898906805536165, 'gross_sharpe_like': 0.0730744490652303, 'cost_impact': 0.2030243634705664, 'mean_return': 0.00045028271209738397, 'volatility': 0.008898906805536165, 'sharpe_like': 0.050599778370221296, 'win_rate': 0.49787835926449786, 'avg_trade_return': 0.00045028271209738397, 'profit_factor': 1.184922087966287, 'expectancy': 0.00045028271209738343, 'avg_win': 0.005795127965103495, 'avg_loss': -0.0048493948345452965, 'gross_profit': 2.0398850437164304, 'gross_loss': -1.7215351662635803, 'max_drawdown': -0.13895333635163298, 'max_drawdown_duration': 193}","{'chop': 9681, 'trend_down': 3872, 'trend_up': 3439}","{'chop': 10906, 'trend_down': 3595, 'trend_up': 2491}","{1: 7685, -1: 7336, 0: 1971}","{-1: 8996, 1: 7901, 0: 95}"
3,2022-02-28 23:55:00+00:00,2023-02-28 21:55:00+00:00,2023-02-28 23:55:00+00:00,2023-04-28 23:55:00+00:00,105096,"{'chop': 60339, 'trend_down': 24214, 'trend_up': 20543}","{1: 46763, -1: 46723, 0: 11610}",49,16992,0.813382768361582,0.5491996233521658,-0.27028388518872337,-0.15940517557166378,-0.3496838105976062,595,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.1414, 'samples': 707, 'trade_count': 707, 'trade_rate': 0.0416078154425612, 'turnover': 0.0832156308851224, 'cumulative_return': -0.27028388518872337, 'gross_cumulative_return': -0.15940517557166378, 'gross_mean_return': -0.00020787613058022766, 'gross_volatility': 0.00871456664152365, 'gross_sharpe_like': -0.023853868945097965, 'cost_impact': 0.11087870961705959, 'mean_return': -0.00040787613058022745, 'volatility': 0.00871456664152365, 'sharpe_like': -0.046803948762839984, 'win_rate': 0.4497878359264498, 'avg_trade_return': -0.00040787613058022745, 'profit_factor': 0.847423436447715, 'expectancy': -0.0004078761305802269, 'avg_win': 0.005036550884426765, 'avg_loss': -0.004858590245675917, 'gross_profit': 1.6016231812477113, 'gross_loss': -1.889991605567932, 'max_drawdown': -0.3496838105976062, 'max_drawdown_duration': 595}","{'chop': 9620, 'trend_down': 3860, 'trend_up': 3512}","{'chop': 10955, 'trend_down': 3261, 'trend_up': 2776}","{1: 7705, -1: 7253, 0: 2034}","{1: 8565, -1: 8367, 0: 60}"
5,2022-04-28 23:55:00+00:00,2023-04-28 21:55:00+00:00,2023-04-28 23:55:00+00:00,2023-06-28 23:55:00+00:00,105096,"{'chop': 60020, 'trend_down': 24156, 'trend_up': 20920}","{-1: 46536, 1: 46514, 0: 12046}",49,17568,0.7990664845173042,0.5429758652094717,0.0011630945463814157,0.1587594242715462,-0.19561457107876457,697,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.1462, 'samples': 731, 'trade_count': 731, 'trade_rate': 0.04160974499089253, 'turnover': 0.08321948998178506, 'cumulative_return': 0.0011630945463814157, 'gross_cumulative_return': 0.1587594242715462, 'gross_mean_return': 0.00021802906135527772, 'gross_volatility': 0.005737810953952162, 'gross_sharpe_like': 0.03799864845757961, 'cost_impact': 0.1575963297251648, 'mean_return': 1.802906135527787e-05, 'volatility': 0.005737810953952162, 'sharpe_like': 0.003142149767562416, 'win_rate': 0.5047879616963065, 'avg_trade_return': 1.802906135527787e-05, 'profit_factor': 1.009967352188751, 'expectancy': 1.8029061355278632e-05, 'avg_win': 0.0036190256289350313, 'avg_loss': -0.0036526000365367903, 'gross_profit': 1.3354204570770265, 'gross_loss': -1.3222412132263182, 'max_drawdown': -0.19561457107876457, 'max_drawdown_duration': 697}","{'chop': 9467, 'trend_down': 4305, 'trend_up': 3796}","{'chop': 10454, 'trend_down': 4137, 'trend_up': 2977}","{1: 7603, -1: 7599, 0: 2366}","{1: 9274, -1: 8104, 0: 190}"
6,2022-05-28 23:55:00+00:00,2023-05-28 21:55:00+00:00,2023-05-28 23:55:00+00:00,2023-07-28 23:55:00+00:00,105096,"{'chop': 59827, 'trend_down': 24011, 'trend_up': 21258}","{1: 46273, -1: 46174, 0: 12649}",49,17568,0.7968465391621129,0.5262978142076503,0.20607528583710866,0.395875276847222,-0.10201226993811208,272,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.1462, 'samples': 731, 'trade_count': 731, 'trade_rate': 0.04160974499089253, 'turnover': 0.08321948998178506, 'cumulative_return': 0.20607528583710866, 'gross_cumulative_return': 0.395875276847222, 'gross_mean_return': 0.0004715862417677685, 'gross_volatility': 0.005536764926283955, 'gross_sharpe_like': 0.08517360734046504, 'cost_impact': 0.18979999101011336, 'mean_return': 0.00027158624176776855, 'volatility': 0.005536764926283955, 'sharpe_like': 0.04905143082353071, 'win_rate': 0.5075239398084815, 'avg_trade_return': 0.00027158624176776855, 'profit_factor': 1.1730650594542178, 'expectancy': 0.0002715862417677691, 'avg_win': 0.0036271368031874506, 'avg_loss': -0.003186495031250847, 'gross_profit': 1.3456677539825441, 'gross_loss': -1.147138211250305, 'max_drawdown': -0.10201226993811208, 'max_drawdown_duration': 272}","{'chop': 10035, 'trend_down': 4137, 'trend_up': 3396}","{'chop': 10715, 'trend_down': 3775, 'trend_up': 3078}","{1: 7726, -1: 7149, 0: 2693}","{1: 8716, -1: 8601, 0: 251}"
8,2022-07-28 23:55:00+00:00,2023-07-28 21:55:00+00:00,2023-07-28 23:55:00+00:00,2023-09-28 23:55:00+00:00,105096,"{'chop': 59890, 'trend_down': 23958, 'trend_up': 21248}","{1: 46000, -1: 44838, 0: 14258}",49,17856,0.7985551075268817,0.48997535842293904,-0.06167168747715901,0.08669851855516142,-0.1457910254977478,654,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.1468, 'samples': 734, 'trade_count': 734, 'trade_rate': 0.04110663082437276, 'turnover': 0.08221326164874553, 'cumulative_return': -0.06167168747715901, 'gross_cumulative_return': 0.08669851855516142, 'gross_mean_return': 0.00012387785989517088, 'gross_volatility': 0.0046235778431393945, 'gross_sharpe_like': 0.026792640699017236, 'cost_impact': 0.14837020603232043, 'mean_return': -7.612214010482905e-05, 'volatility': 0.0046235778431393945, 'sharpe_like': -0.016463903645048693, 'win_rate': 0.4536784741144414, 'avg_trade_return': -7.612214010482905e-05, 'profit_factor': 0.9412112530027517, 'expectancy': -7.612214010482865e-05, 'avg_win': 0.002686307490122569, 'avg_loss': -0.0023701098380243383, 'gross_profit': 0.8945403942108155, 'gross_loss': -0.9504140450477597, 'max_drawdown': -0.1457910254977478, 'max_drawdown_duration': 654}","{'chop': 10958, 'trend_down': 4046, 'trend_up': 2852}","{'chop': 10448, 'trend_down': 4506, 'trend_up': 2902}","{-1: 7214, 1: 6629, 0: 4013}","{1: 8714, -1: 8029, 0: 1113}"
9,2022-08-28 23:55:00+00:00,2023-08-28 21:55:00+00:00,2023-08-28 23:55:00+00:00,2023-10-28 23:55:00+00:00,105096,"{'chop': 59610, 'trend_down': 24272, 'trend_up': 21214}","{1: 45140, -1: 44439, 0: 15517}",49,17568,0.7995218579234973,0.5194672131147541,0.1560838768883377,0.33615630928718954,-0.08116579888780107,179,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.1448, 'samples': 724, 'trade_count': 724, 'trade_rate': 0.04121129326047359, 'turnover': 0.08242258652094718, 'cumulative_return': 0.1560838768883377, 'gross_cumulative_return': 0.33615630928718954, 'gross_mean_return': 0.00041582538278063356, 'gross_volatility': 0.005595318732412246, 'gross_sharpe_like': 0.07431665695322481, 'cost_impact': 0.18007243239885184, 'mean_return': 0.00021582538278063374, 'volatility': 0.0055953187324122465, 'sharpe_like': 0.038572491238151034, 'win_rate': 0.4723756906077348, 'avg_trade_return': 0.00021582538278063374, 'profit_factor': 1.1423273683591155, 'expectancy': 0.00021582538278063423, 'avg_win': 0.0036670526261915254, 'avg_loss': -0.0028740168089641947, 'gross_profit': 1.2541319981575016, 'gross_loss': -1.0978744210243223, 'max_drawdown': -0.08116579888780107, 'max_drawdown_duration': 179}","{'chop': 10972, 'trend_down': 3396, 'trend_up': 3200}","{'chop': 10343, 'trend_down': 3820, 'trend_up': 3405}","{1: 7591, -1: 6912, 0: 3065}","{1: 8498, -1: 8123, 0: 947}"
11,2022-10-28 23:55:00+00:00,2023-10-28 21:55:00+00:00,2023-10-28 23:55:00+00:00,2023-12-28 23:55:00+00:00,105096,"{'chop': 59683, 'trend_down': 24337, 'trend_up': 21076}","{1: 45002, -1: 43448, 0: 16646}",49,17568,0.7820469034608379,0.4993169398907104,-0.09306933448462851,0.04971470656917587,-0.1791109934033419,530,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.1462, 'samples': 731, 'trade_count': 731, 'trade_rate': 0.04160974499089253, 'turnover': 0.08321948998178506, 'cumulative_return': -0.09306933448462851, 'gross_cumulative_return': 0.04971470656917587, 'gross_mean_return': 8.536608209362108e-05, 'gross_volatility': 0.006166969372203932, 'gross_sharpe_like': 0.013842468957019195, 'cost_impact': 0.14278404105380438, 'mean_return': -0.00011463391790637874, 'volatility': 0.006166969372203932, 'sharpe_like': -0.018588371530279098, 'win_rate': 0.4637482900136799, 'avg_trade_return': -0.00011463391790637874, 'profit_factor': 0.9467736405615599, 'expectancy': -0.00011463391790637835, 'avg_win': 0.00439693666756329, 'avg_loss': -0.00401622174564673, 'gross_profit': 1.4905615303039552, 'gross_loss': -1.5743589242935179, 'max_drawdown': -0.1791109934033419, 'max_drawdown_duration': 530}","{'chop': 10168, 'trend_down': 3878, 'trend_up': 3522}","{'chop': 10094, 'trend_down': 4397, 'trend_up': 3077}","{1: 8214, -1: 7211, 0: 2143}","{-1: 9474, 1: 7879, 0: 215}"
