window,train_start,train_end,val_start,val_end,train_samples,regime_dist,blend_dist,feature_count,val_samples,regime_accuracy,blend_accuracy,cumulative_return,gross_cumulative_return,max_drawdown,max_drawdown_duration,return_metrics,regime_dist_true,regime_dist_pred,blend_dist_true,blend_dist_pred
1,2017-01-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,1086,"{'chop': 641, 'trend_up': 337, 'trend_down': 108}","{1: 757, -1: 314, 0: 15}",49,186,0.6774193548387096,0.2956989247311828,-0.26875853538513184,-0.2678278684616089,-0.2910648584365845,2,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03225806451612903, 'turnover': 0.06451612903225806, 'cumulative_return': -0.26875853538513184, 'gross_cumulative_return': -0.2678278684616089, 'gross_mean_return': -0.045354921370744705, 'gross_volatility': 0.10588206350803375, 'gross_sharpe_like': -0.42835320608672706, 'cost_impact': 0.0009306669235229492, 'mean_return': -0.04555492475628853, 'volatility': 0.10588206350803375, 'sharpe_like': -0.4302421321136424, 'win_rate': 0.5, 'avg_trade_return': -0.04555492475628853, 'profit_factor': 0.23297875445474683, 'expectancy': -0.04555492755025625, 'avg_win': 0.027674147859215736, 'avg_loss': -0.11878400295972824, 'gross_profit': 0.08302244544029236, 'gross_loss': -0.3563520014286041, 'max_drawdown': -0.2910648584365845, 'max_drawdown_duration': 2}","{'chop': 125, 'trend_down': 37, 'trend_up': 24}","{'chop': 143, 'trend_up': 26, 'trend_down': 17}","{1: 87, -1: 86, 0: 13}","{0: 79, 1: 69, -1: 38}"
2,2017-02-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,1086,"{'chop': 654, 'trend_up': 316, 'trend_down': 116}","{1: 735, -1: 336, 0: 15}",49,186,0.5591397849462365,0.08064516129032258,-0.43055427074432373,-0.42979860305786133,-0.3004158139228821,5,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03225806451612903, 'turnover': 0.06451612903225806, 'cumulative_return': -0.43055427074432373, 'gross_cumulative_return': -0.42979860305786133, 'gross_mean_return': -0.08376491069793701, 'gross_volatility': 0.11077883094549179, 'gross_sharpe_like': -0.7561454655461488, 'cost_impact': 0.0007556676864624023, 'mean_return': -0.08396491408348083, 'volatility': 0.11077883839607239, 'sharpe_like': -0.757950844215187, 'win_rate': 0.16666666666666666, 'avg_trade_return': -0.08396491408348083, 'profit_factor': 0.12942617438638607, 'expectancy': -0.08396491159995398, 'avg_win': 0.07489719986915588, 'avg_loss': -0.11573733389377594, 'gross_profit': 0.07489719986915588, 'gross_loss': -0.5786866545677185, 'max_drawdown': -0.3004158139228821, 'max_drawdown_duration': 5}","{'chop': 117, 'trend_up': 69}","{'trend_up': 131, 'chop': 35, 'trend_down': 20}","{1: 143, -1: 29, 0: 14}","{-1: 99, 0: 87}"
3,2017-03-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,1104,"{'chop': 669, 'trend_up': 322, 'trend_down': 113}","{1: 750, -1: 338, 0: 16}",49,180,0.8388888888888889,0.24444444444444444,-0.2926536202430725,-0.2917512059211731,-0.27951329946517944,5,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03333333333333333, 'turnover': 0.06666666666666667, 'cumulative_return': -0.2926536202430725, 'gross_cumulative_return': -0.2917512059211731, 'gross_mean_return': -0.05291778966784477, 'gross_volatility': 0.08428247272968292, 'gross_sharpe_like': -0.627862329544681, 'cost_impact': 0.0009024143218994141, 'mean_return': -0.053117793053388596, 'volatility': 0.08428247272968292, 'sharpe_like': -0.6302353423321119, 'win_rate': 0.16666666666666666, 'avg_trade_return': -0.053117793053388596, 'profit_factor': 0.24163565504300166, 'expectancy': -0.0531177893280983, 'avg_win': 0.1015487015247345, 'avg_loss': -0.08405108749866486, 'gross_profit': 0.1015487015247345, 'gross_loss': -0.4202554523944855, 'max_drawdown': -0.27951329946517944, 'max_drawdown_duration': 5}","{'chop': 156, 'trend_down': 12, 'trend_up': 12}","{'chop': 161, 'trend_up': 19}","{-1: 94, 1: 73, 0: 13}","{-1: 101, 0: 55, 1: 24}"
4,2017-04-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,1098,"{'chop': 677, 'trend_up': 333, 'trend_down': 88}","{1: 737, -1: 346, 0: 15}",49,186,0.5053763440860215,0.20967741935483872,-0.27798038721084595,-0.2770637273788452,-0.2579360604286194,5,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03225806451612903, 'turnover': 0.06451612903225806, 'cumulative_return': -0.27798038721084595, 'gross_cumulative_return': -0.2770637273788452, 'gross_mean_return': -0.05118626356124878, 'gross_volatility': 0.056660573929548264, 'gross_sharpe_like': -0.9033841348817567, 'cost_impact': 0.0009166598320007324, 'mean_return': -0.0513862669467926, 'volatility': 0.056660573929548264, 'sharpe_like': -0.90691398591702, 'win_rate': 0.0, 'avg_trade_return': -0.0513862669467926, 'profit_factor': 0.0, 'expectancy': -0.0513862669467926, 'avg_win': 0.0, 'avg_loss': -0.0513862669467926, 'gross_profit': 0.0, 'gross_loss': -0.3083176016807556, 'max_drawdown': -0.2579360604286194, 'max_drawdown_duration': 5}","{'chop': 135, 'trend_up': 51}","{'trend_up': 137, 'chop': 49}","{1: 118, -1: 54, 0: 14}","{-1: 150, 0: 30, 1: 6}"
5,2017-05-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,1104,"{'chop': 711, 'trend_up': 305, 'trend_down': 88}","{1: 717, -1: 370, 0: 17}",49,180,0.5611111111111111,0.23333333333333334,0.03641366958618164,0.03723764419555664,-0.0932455062866211,2,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0008, 'samples': 4, 'trade_count': 4, 'trade_rate': 0.022222222222222223, 'turnover': 0.044444444444444446, 'cumulative_return': 0.03641366958618164, 'gross_cumulative_return': 0.03723764419555664, 'gross_mean_return': 0.011257141828536987, 'gross_volatility': 0.07347168773412704, 'gross_sharpe_like': 0.1532174117093016, 'cost_impact': 0.000823974609375, 'mean_return': 0.011057139374315739, 'volatility': 0.07347169518470764, 'sharpe_like': 0.15049522603933557, 'win_rate': 0.75, 'avg_trade_return': 0.011057139374315739, 'profit_factor': 1.474323853977197, 'expectancy': 0.011057138442993164, 'avg_win': 0.045824676752090454, 'avg_loss': -0.0932454764842987, 'gross_profit': 0.13747403025627136, 'gross_loss': -0.0932454764842987, 'max_drawdown': -0.0932455062866211, 'max_drawdown_duration': 2}","{'chop': 100, 'trend_up': 63, 'trend_down': 17}","{'chop': 179, 'trend_down': 1}","{1: 121, -1: 45, 0: 14}","{0: 109, 1: 71}"
6,2017-06-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,1098,"{'chop': 661, 'trend_up': 339, 'trend_down': 98}","{1: 699, -1: 381, 0: 18}",49,186,0.45161290322580644,0.25806451612903225,-0.06280934810638428,-0.061852872371673584,-0.25645577907562256,3,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.001, 'samples': 5, 'trade_count': 5, 'trade_rate': 0.026881720430107527, 'turnover': 0.053763440860215055, 'cumulative_return': -0.06280934810638428, 'gross_cumulative_return': -0.061852872371673584, 'gross_mean_return': -0.006160461809486151, 'gross_volatility': 0.12547937035560608, 'gross_sharpe_like': -0.04909541538204665, 'cost_impact': 0.0009564757347106934, 'mean_return': -0.006360464729368687, 'volatility': 0.12547937035560608, 'sharpe_like': -0.050689326152524146, 'win_rate': 0.6, 'avg_trade_return': -0.006360464729368687, 'profit_factor': 0.8840504232433531, 'expectancy': -0.006360463798046119, 'avg_win': 0.08082496374845505, 'avg_loss': -0.13713860511779785, 'gross_profit': 0.24247488379478455, 'gross_loss': -0.2742772102355957, 'max_drawdown': -0.25645577907562256, 'max_drawdown_duration': 3}","{'chop': 153, 'trend_up': 28, 'trend_down': 5}","{'trend_up': 125, 'chop': 61}","{1: 118, -1: 54, 0: 14}","{1: 98, 0: 83, -1: 5}"
7,2017-07-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,1104,"{'chop': 669, 'trend_up': 362, 'trend_down': 73}","{1: 727, -1: 359, 0: 18}",49,186,0.8172043010752689,0.21505376344086022,-0.19773858785629272,-0.19673234224319458,-0.35595107078552246,5,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03225806451612903, 'turnover': 0.06451612903225806, 'cumulative_return': -0.19773858785629272, 'gross_cumulative_return': -0.19673234224319458, 'gross_mean_return': -0.02903168462216854, 'gross_volatility': 0.12918205559253693, 'gross_sharpe_like': -0.22473465443017576, 'cost_impact': 0.0010062456130981445, 'mean_return': -0.029231688007712364, 'volatility': 0.12918205559253693, 'sharpe_like': -0.22628288328151616, 'win_rate': 0.3333333333333333, 'avg_trade_return': -0.029231688007712364, 'profit_factor': 0.5739258473278618, 'expectancy': -0.029231687386830657, 'avg_win': 0.11812606453895569, 'avg_loss': -0.10291056334972382, 'gross_profit': 0.23625212907791138, 'gross_loss': -0.41164225339889526, 'max_drawdown': -0.35595107078552246, 'max_drawdown_duration': 5}","{'chop': 152, 'trend_down': 24, 'trend_up': 10}",{'chop': 186},"{-1: 112, 1: 60, 0: 14}","{1: 129, 0: 43, -1: 14}"
8,2017-08-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,1104,"{'chop': 724, 'trend_up': 332, 'trend_down': 48}","{1: 693, -1: 392, 0: 19}",49,168,0.875,0.17857142857142858,-0.005035459995269775,-0.004431247711181641,-0.17178523540496826,2,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0006000000000000001, 'samples': 3, 'trade_count': 3, 'trade_rate': 0.017857142857142856, 'turnover': 0.03571428571428571, 'cumulative_return': -0.005035459995269775, 'gross_cumulative_return': -0.004431247711181641, 'gross_mean_return': 0.008322755806148052, 'gross_volatility': 0.16944390535354614, 'gross_sharpe_like': 0.049118059388341836, 'cost_impact': 0.0006042122840881348, 'mean_return': 0.008122753351926804, 'volatility': 0.16944390535354614, 'sharpe_like': 0.04793771328026588, 'win_rate': 0.6666666666666666, 'avg_trade_return': 0.008122753351926804, 'profit_factor': 1.1418530556516957, 'expectancy': 0.008122752110163355, 'avg_win': 0.098076730966568, 'avg_loss': -0.17178520560264587, 'gross_profit': 0.196153461933136, 'gross_loss': -0.17178520560264587, 'max_drawdown': -0.17178523540496826, 'max_drawdown_duration': 2}","{'chop': 131, 'trend_up': 33, 'trend_down': 4}","{'chop': 134, 'trend_up': 32, 'trend_down': 2}","{1: 94, -1: 61, 0: 13}","{0: 130, -1: 23, 1: 15}"
9,2017-09-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,1086,"{'chop': 726, 'trend_up': 278, 'trend_down': 82}","{1: 633, -1: 435, 0: 18}",49,186,0.7150537634408602,0.22043010752688172,-0.3492105007171631,-0.34836727380752563,-0.42093145847320557,5,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03225806451612903, 'turnover': 0.06451612903225806, 'cumulative_return': -0.3492105007171631, 'gross_cumulative_return': -0.34836727380752563, 'gross_mean_return': -0.0643145740032196, 'gross_volatility': 0.10440465062856674, 'gross_sharpe_like': -0.616012539824755, 'cost_impact': 0.0008432269096374512, 'mean_return': -0.06451457738876343, 'volatility': 0.10440465062856674, 'sharpe_like': -0.6179281957303081, 'win_rate': 0.16666666666666666, 'avg_trade_return': -0.06451457738876343, 'profit_factor': 0.24240597867246277, 'expectancy': -0.0645145798722903, 'avg_win': 0.12385568022727966, 'avg_loss': -0.10218863189220428, 'gross_profit': 0.12385568022727966, 'gross_loss': -0.5109431743621826, 'max_drawdown': -0.42093145847320557, 'max_drawdown_duration': 5}","{'chop': 145, 'trend_down': 41}","{'chop': 122, 'trend_down': 53, 'trend_up': 11}","{-1: 125, 1: 47, 0: 14}","{0: 92, 1: 74, -1: 20}"
10,2017-10-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,2018-05-01 00:00:00+00:00,1092,"{'chop': 738, 'trend_up': 247, 'trend_down': 107}","{1: 604, -1: 470, 0: 18}",49,180,0.8444444444444444,0.16111111111111112,-0.2868075370788574,-0.2857576608657837,-0.2839040756225586,5,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0014, 'samples': 7, 'trade_count': 7, 'trade_rate': 0.03888888888888889, 'turnover': 0.07777777777777778, 'cumulative_return': -0.2868075370788574, 'gross_cumulative_return': -0.2857576608657837, 'gross_mean_return': -0.04583979398012161, 'gross_volatility': 0.04931926354765892, 'gross_sharpe_like': -0.9294500907505446, 'cost_impact': 0.0010498762130737305, 'mean_return': -0.046039797365665436, 'volatility': 0.04931926354765892, 'sharpe_like': -0.9335053699894683, 'win_rate': 0.2857142857142857, 'avg_trade_return': -0.046039797365665436, 'profit_factor': 0.054839211114604304, 'expectancy': -0.04603979949440275, 'avg_win': 0.009349469095468521, 'avg_loss': -0.06819550693035126, 'gross_profit': 0.018698938190937042, 'gross_loss': -0.3409775197505951, 'max_drawdown': -0.2839040756225586, 'max_drawdown_duration': 5}","{'chop': 120, 'trend_up': 60}","{'chop': 124, 'trend_up': 46, 'trend_down': 10}","{1: 134, -1: 30, 0: 16}","{-1: 136, 1: 44}"
