window,train_start,train_end,val_start,val_end,train_samples,regime_dist,blend_dist,feature_count,val_samples,regime_accuracy,blend_accuracy,cumulative_return,gross_cumulative_return,max_drawdown,max_drawdown_duration,return_metrics,regime_dist_true,regime_dist_pred,blend_dist_true,blend_dist_pred
1,2017-01-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,1086,"{'chop': 641, 'trend_up': 337, 'trend_down': 108}","{1: 742, -1: 325, 0: 19}",49,186,0.6774193548387096,0.40860215053763443,0.45558154582977295,0.45839858055114746,-0.15204596519470215,3,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.002, 'samples': 10, 'trade_count': 10, 'trade_rate': 0.053763440860215055, 'turnover': 0.10752688172043011, 'cumulative_return': 0.45558154582977295, 'gross_cumulative_return': 0.45839858055114746, 'gross_mean_return': 0.042168326675891876, 'gross_volatility': 0.09099063277244568, 'gross_sharpe_like': 0.46343590973093596, 'cost_impact': 0.0028170347213745117, 'mean_return': 0.04196832329034805, 'volatility': 0.09099063277244568, 'sharpe_like': 0.4612378440680231, 'win_rate': 0.9, 'avg_trade_return': 0.04196832329034805, 'profit_factor': 3.760239836215151, 'expectancy': 0.04196832776069642, 'avg_win': 0.06352546811103821, 'avg_loss': -0.15204593539237976, 'gross_profit': 0.5717291831970215, 'gross_loss': -0.15204593539237976, 'max_drawdown': -0.15204596519470215, 'max_drawdown_duration': 3}","{'chop': 125, 'trend_down': 37, 'trend_up': 24}","{'chop': 143, 'trend_up': 26, 'trend_down': 17}","{1: 100, -1: 78, 0: 8}","{0: 76, 1: 70, -1: 40}"
2,2017-02-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,1086,"{'chop': 654, 'trend_up': 316, 'trend_down': 116}","{1: 719, -1: 349, 0: 18}",49,186,0.5591397849462365,0.12903225806451613,0.19489073753356934,0.1958080530166626,-0.058015525341033936,1,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0008, 'samples': 4, 'trade_count': 4, 'trade_rate': 0.021505376344086023, 'turnover': 0.043010752688172046, 'cumulative_return': 0.19489073753356934, 'gross_cumulative_return': 0.1958080530166626, 'gross_mean_return': 0.0487840473651886, 'gross_volatility': 0.09275078028440475, 'gross_sharpe_like': 0.525969131640731, 'cost_impact': 0.0009173154830932617, 'mean_return': 0.048584043979644775, 'volatility': 0.09275078028440475, 'sharpe_like': 0.5238127790480029, 'win_rate': 0.75, 'avg_trade_return': 0.048584043979644775, 'profit_factor': 4.349725632071699, 'expectancy': 0.0485840430483222, 'avg_win': 0.08411724120378494, 'avg_loss': -0.058015551418066025, 'gross_profit': 0.2523517310619354, 'gross_loss': -0.058015551418066025, 'max_drawdown': -0.058015525341033936, 'max_drawdown_duration': 1}","{'chop': 117, 'trend_up': 69}","{'trend_up': 131, 'chop': 35, 'trend_down': 20}","{1: 131, -1: 48, 0: 7}","{0: 162, 1: 18, -1: 6}"
3,2017-03-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,1104,"{'chop': 669, 'trend_up': 322, 'trend_down': 113}","{1: 721, -1: 365, 0: 18}",49,180,0.8388888888888889,0.5111111111111111,0.0167388916015625,0.019595980644226074,-0.19518327713012695,6,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0028, 'samples': 14, 'trade_count': 14, 'trade_rate': 0.07777777777777778, 'turnover': 0.15555555555555556, 'cumulative_return': 0.0167388916015625, 'gross_cumulative_return': 0.019595980644226074, 'gross_mean_return': 0.004641273058950901, 'gross_volatility': 0.08263429999351501, 'gross_sharpe_like': 0.056166423135612445, 'cost_impact': 0.0028570890426635742, 'mean_return': 0.004441272001713514, 'volatility': 0.08263429999351501, 'sharpe_like': 0.05374610787605216, 'win_rate': 0.5714285714285714, 'avg_trade_return': 0.004441272001713514, 'profit_factor': 1.1429469570963173, 'expectancy': 0.004441269806453155, 'avg_win': 0.06214359402656555, 'avg_loss': -0.07249516248703003, 'gross_profit': 0.4971487522125244, 'gross_loss': -0.4349709749221802, 'max_drawdown': -0.19518327713012695, 'max_drawdown_duration': 6}","{'chop': 156, 'trend_down': 12, 'trend_up': 12}","{'chop': 161, 'trend_up': 19}","{1: 88, -1: 86, 0: 6}","{1: 123, -1: 34, 0: 23}"
4,2017-04-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,1098,"{'chop': 677, 'trend_up': 333, 'trend_down': 88}","{1: 725, -1: 358, 0: 15}",49,186,0.5053763440860215,0.3924731182795699,-0.20212572813034058,-0.19984501600265503,-0.28127992153167725,10,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0028, 'samples': 14, 'trade_count': 14, 'trade_rate': 0.07526881720430108, 'turnover': 0.15053763440860216, 'cumulative_return': -0.20212572813034058, 'gross_cumulative_return': -0.19984501600265503, 'gross_mean_return': -0.01297054160386324, 'gross_volatility': 0.07497609406709671, 'gross_sharpe_like': -0.17299569636497464, 'cost_impact': 0.002280712127685547, 'mean_return': -0.013170542195439339, 'volatility': 0.07497609406709671, 'sharpe_like': -0.17566322118157976, 'win_rate': 0.5714285714285714, 'avg_trade_return': -0.013170542195439339, 'profit_factor': 0.6099722436381952, 'expectancy': -0.013170543525900167, 'avg_win': 0.03604593873023987, 'avg_loss': -0.0787925198674202, 'gross_profit': 0.28836750984191895, 'gross_loss': -0.4727551341056824, 'max_drawdown': -0.28127992153167725, 'max_drawdown_duration': 10}","{'chop': 135, 'trend_up': 51}","{'trend_up': 137, 'chop': 49}","{1: 119, -1: 59, 0: 8}","{-1: 98, 1: 68, 0: 20}"
5,2017-05-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,1104,"{'chop': 711, 'trend_up': 305, 'trend_down': 88}","{1: 703, -1: 386, 0: 15}",49,180,0.5611111111111111,0.22777777777777777,-0.14583349227905273,-0.14443641901016235,-0.22051715850830078,7,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0016, 'samples': 8, 'trade_count': 8, 'trade_rate': 0.044444444444444446, 'turnover': 0.08888888888888889, 'cumulative_return': -0.14583349227905273, 'gross_cumulative_return': -0.14443641901016235, 'gross_mean_return': -0.01781626045703888, 'gross_volatility': 0.05694856867194176, 'gross_sharpe_like': -0.312848257164659, 'cost_impact': 0.0013970732688903809, 'mean_return': -0.018016261979937553, 'volatility': 0.05694856867194176, 'sharpe_like': -0.3163602246743396, 'win_rate': 0.5, 'avg_trade_return': -0.018016261979937553, 'profit_factor': 0.404336252077838, 'expectancy': -0.018016261979937553, 'avg_win': 0.024458859115839005, 'avg_loss': -0.06049138307571411, 'gross_profit': 0.09783543646335602, 'gross_loss': -0.24196553230285645, 'max_drawdown': -0.22051715850830078, 'max_drawdown_duration': 7}","{'chop': 100, 'trend_up': 63, 'trend_down': 17}","{'chop': 179, 'trend_down': 1}","{1: 128, -1: 46, 0: 6}","{0: 98, 1: 78, -1: 4}"
6,2017-06-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,1098,"{'chop': 661, 'trend_up': 339, 'trend_down': 98}","{1: 689, -1: 393, 0: 16}",49,186,0.45161290322580644,0.11827956989247312,-0.39359378814697266,-0.3926768898963928,-0.3454517126083374,6,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0014, 'samples': 7, 'trade_count': 7, 'trade_rate': 0.03763440860215054, 'turnover': 0.07526881720430108, 'cumulative_return': -0.39359378814697266, 'gross_cumulative_return': -0.3926768898963928, 'gross_mean_return': -0.06437854468822479, 'gross_volatility': 0.09842957556247711, 'gross_sharpe_like': -0.6540569165348195, 'cost_impact': 0.000916898250579834, 'mean_return': -0.06457854807376862, 'volatility': 0.09842957556247711, 'sharpe_like': -0.6560888605353995, 'win_rate': 0.2857142857142857, 'avg_trade_return': -0.06457854807376862, 'profit_factor': 0.2026989792018997, 'expectancy': -0.06457854275192534, 'avg_win': 0.05746263265609741, 'avg_loss': -0.11339501291513443, 'gross_profit': 0.11492526531219482, 'gross_loss': -0.5669750571250916, 'max_drawdown': -0.3454517126083374, 'max_drawdown_duration': 6}","{'chop': 153, 'trend_up': 28, 'trend_down': 5}","{'trend_up': 125, 'chop': 61}","{1: 101, -1: 78, 0: 7}","{0: 139, -1: 36, 1: 11}"
7,2017-07-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,1104,"{'chop': 669, 'trend_up': 362, 'trend_down': 73}","{1: 691, -1: 396, 0: 17}",49,186,0.8172043010752689,0.4838709677419355,-0.01567763090133667,-0.012901842594146729,-0.3197811245918274,8,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0028, 'samples': 14, 'trade_count': 14, 'trade_rate': 0.07526881720430108, 'turnover': 0.15053763440860216, 'cumulative_return': -0.01567763090133667, 'gross_cumulative_return': -0.012901842594146729, 'gross_mean_return': 0.003570079803466797, 'gross_volatility': 0.09734830260276794, 'gross_sharpe_like': 0.036673261967746805, 'cost_impact': 0.0027757883071899414, 'mean_return': 0.003370077582076192, 'volatility': 0.09734830260276794, 'sharpe_like': 0.03461876059439756, 'win_rate': 0.42857142857142855, 'avg_trade_return': 0.003370077582076192, 'profit_factor': 1.0953879061023812, 'expectancy': 0.0033700764179229736, 'avg_win': 0.09030070900917053, 'avg_loss': -0.061827898025512695, 'gross_profit': 0.5418042540550232, 'gross_loss': -0.49462318420410156, 'max_drawdown': -0.3197811245918274, 'max_drawdown_duration': 8}","{'chop': 152, 'trend_down': 24, 'trend_up': 10}",{'chop': 186},"{-1: 96, 1: 85, 0: 5}","{1: 104, -1: 66, 0: 16}"
8,2017-08-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,1104,"{'chop': 724, 'trend_up': 332, 'trend_down': 48}","{1: 676, -1: 414, 0: 14}",49,168,0.875,0.4880952380952381,0.20876812934875488,0.21164178848266602,-0.2372910976409912,3,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0024000000000000002, 'samples': 12, 'trade_count': 12, 'trade_rate': 0.07142857142857142, 'turnover': 0.14285714285714285, 'cumulative_return': 0.20876812934875488, 'gross_cumulative_return': 0.21164178848266602, 'gross_mean_return': 0.021235913038253784, 'gross_volatility': 0.10524571686983109, 'gross_sharpe_like': 0.20177460584470688, 'cost_impact': 0.002873659133911133, 'mean_return': 0.02103590965270996, 'volatility': 0.10524571686983109, 'sharpe_like': 0.19987425881404158, 'win_rate': 0.6666666666666666, 'avg_trade_return': 0.02103590965270996, 'profit_factor': 1.5955114415970792, 'expectancy': 0.021035909652709954, 'avg_win': 0.08454002439975739, 'avg_loss': -0.10597231984138489, 'gross_profit': 0.6763201951980591, 'gross_loss': -0.42388927936553955, 'max_drawdown': -0.2372910976409912, 'max_drawdown_duration': 3}","{'chop': 131, 'trend_up': 33, 'trend_down': 4}","{'chop': 134, 'trend_up': 32, 'trend_down': 2}","{1: 101, -1: 62, 0: 5}","{1: 103, 0: 46, -1: 19}"
9,2017-09-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,1086,"{'chop': 726, 'trend_up': 278, 'trend_down': 82}","{1: 638, -1: 436, 0: 12}",49,186,0.7150537634408602,0.4838709677419355,-0.08628231287002563,-0.08388078212738037,-0.23687905073165894,9,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0026000000000000003, 'samples': 13, 'trade_count': 13, 'trade_rate': 0.06989247311827956, 'turnover': 0.13978494623655913, 'cumulative_return': -0.08628231287002563, 'gross_cumulative_return': -0.08388078212738037, 'gross_mean_return': -0.004091106820851564, 'gross_volatility': 0.07522799074649811, 'gross_sharpe_like': -0.054382774021410465, 'cost_impact': 0.0024015307426452637, 'mean_return': -0.004291109275072813, 'volatility': 0.07522799074649811, 'sharpe_like': -0.057041391541785474, 'win_rate': 0.46153846153846156, 'avg_trade_return': -0.004291109275072813, 'profit_factor': 0.8648764540481478, 'expectancy': -0.004291111746659644, 'avg_win': 0.05950929597020149, 'avg_loss': -0.05897717550396919, 'gross_profit': 0.35705578327178955, 'gross_loss': -0.41284021735191345, 'max_drawdown': -0.23687905073165894, 'max_drawdown_duration': 9}","{'chop': 145, 'trend_down': 41}","{'chop': 122, 'trend_down': 53, 'trend_up': 11}","{-1: 116, 1: 65, 0: 5}","{1: 81, -1: 74, 0: 31}"
10,2017-10-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,2018-05-01 00:00:00+00:00,1092,"{'chop': 738, 'trend_up': 247, 'trend_down': 107}","{1: 615, -1: 466, 0: 11}",49,180,0.8444444444444444,0.5944444444444444,0.07848989963531494,0.08150291442871094,-0.12189227342605591,7,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0028, 'samples': 14, 'trade_count': 14, 'trade_rate': 0.07777777777777778, 'turnover': 0.15555555555555556, 'cumulative_return': 0.07848989963531494, 'gross_cumulative_return': 0.08150291442871094, 'gross_mean_return': 0.007417491637170315, 'gross_volatility': 0.06311019510030746, 'gross_sharpe_like': 0.11753238324459209, 'cost_impact': 0.003013014793395996, 'mean_return': 0.0072174882516264915, 'volatility': 0.06311019510030746, 'sharpe_like': 0.11436326951857781, 'win_rate': 0.42857142857142855, 'avg_trade_return': 0.0072174882516264915, 'profit_factor': 1.3377267165432105, 'expectancy': 0.007217489182949063, 'avg_win': 0.06670599430799484, 'avg_loss': -0.037398889660835266, 'gross_profit': 0.40023595094680786, 'gross_loss': -0.29919111728668213, 'max_drawdown': -0.12189227342605591, 'max_drawdown_duration': 7}","{'chop': 120, 'trend_up': 60}","{'chop': 124, 'trend_up': 46, 'trend_down': 10}","{1: 124, -1: 50, 0: 6}","{1: 131, -1: 42, 0: 7}"
