window,train_start,train_end,val_start,val_end,train_samples,regime_dist,blend_dist,feature_count,val_samples,regime_accuracy,blend_accuracy,cumulative_return,gross_cumulative_return,max_drawdown,max_drawdown_duration,return_metrics,regime_dist_true,regime_dist_pred,blend_dist_true,blend_dist_pred
2,2022-01-31 23:55:00+00:00,2023-01-31 22:55:00+00:00,2023-01-31 23:55:00+00:00,2023-03-31 23:55:00+00:00,105108,"{'chop': 60330, 'trend_down': 24048, 'trend_up': 20730}","{1: 44513, -1: 43663, 0: 16932}",49,16992,0.8122645951035782,0.6091690207156308,0.015018531552994263,0.34538564390496096,-0.18288034769318606,970,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.2818, 'samples': 1409, 'trade_count': 1409, 'trade_rate': 0.0829213747645951, 'turnover': 0.1658427495291902, 'cumulative_return': 0.015018531552994263, 'gross_cumulative_return': 0.34538564390496096, 'gross_mean_return': 0.00022827728662700667, 'gross_volatility': 0.005953555379696312, 'gross_sharpe_like': 0.038343018930421205, 'cost_impact': 0.3303671123519667, 'mean_return': 2.8277286627006828e-05, 'volatility': 0.005953555379696312, 'sharpe_like': 0.004749647029981812, 'win_rate': 0.46202980837473384, 'avg_trade_return': 2.8277286627006828e-05, 'profit_factor': 1.015833492794953, 'expectancy': 2.827728662700723e-05, 'avg_win': 0.00392657174829697, 'avg_loss': -0.003319730225968171, 'gross_profit': 2.5561982081413275, 'gross_loss': -2.516355511283874, 'max_drawdown': -0.18288034769318606, 'max_drawdown_duration': 970}","{'chop': 9681, 'trend_down': 3872, 'trend_up': 3439}","{'chop': 10900, 'trend_down': 3590, 'trend_up': 2502}","{1: 7002, -1: 6915, 0: 3075}","{-1: 8532, 1: 7915, 0: 545}"
3,2022-02-28 23:55:00+00:00,2023-02-28 22:55:00+00:00,2023-02-28 23:55:00+00:00,2023-04-28 23:55:00+00:00,105108,"{'chop': 60351, 'trend_down': 24214, 'trend_up': 20543}","{1: 43988, -1: 43330, 0: 17790}",49,16992,0.8150306026365348,0.6103460451977402,-0.25521651886781416,-0.0139274333829843,-0.3643492167681819,940,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.2806, 'samples': 1403, 'trade_count': 1403, 'trade_rate': 0.08256826741996233, 'turnover': 0.16513653483992466, 'cumulative_return': -0.25521651886781416, 'gross_cumulative_return': -0.0139274333829843, 'gross_mean_return': 9.919861258563193e-06, 'gross_volatility': 0.006348536169725575, 'gross_sharpe_like': 0.0015625430797525084, 'cost_impact': 0.24128908548482986, 'mean_return': -0.00019008013874143674, 'volatility': 0.006348536169725575, 'sharpe_like': -0.02994078219919053, 'win_rate': 0.436208125445474, 'avg_trade_return': -0.00019008013874143674, 'profit_factor': 0.8988222160892337, 'expectancy': -0.00019008013874143677, 'avg_win': 0.0038710753475139346, 'avg_loss': -0.0033322130813309273, 'gross_profit': 2.369098112678528, 'gross_loss': -2.6357805473327636, 'max_drawdown': -0.3643492167681819, 'max_drawdown_duration': 940}","{'chop': 9620, 'trend_down': 3860, 'trend_up': 3512}","{'chop': 10929, 'trend_down': 3272, 'trend_up': 2791}","{1: 7059, -1: 6910, 0: 3023}","{1: 8316, -1: 7977, 0: 699}"
5,2022-04-28 23:55:00+00:00,2023-04-28 22:55:00+00:00,2023-04-28 23:55:00+00:00,2023-06-28 23:55:00+00:00,105108,"{'chop': 60032, 'trend_down': 24156, 'trend_up': 20920}","{1: 43453, -1: 43111, 0: 18544}",49,17568,0.8000341530054644,0.5792918943533698,-0.2789970047704572,-0.03677965636146907,-0.29694404422736365,1326,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.2896, 'samples': 1448, 'trade_count': 1448, 'trade_rate': 0.08242258652094718, 'turnover': 0.16484517304189436, 'cumulative_return': -0.2789970047704572, 'gross_cumulative_return': -0.03677965636146907, 'gross_mean_return': -1.742435588362467e-05, 'gross_volatility': 0.004118615184390849, 'gross_sharpe_like': -0.004230634595254561, 'cost_impact': 0.24221734840898812, 'mean_return': -0.00021742435588362468, 'volatility': 0.004118615184390849, 'sharpe_like': -0.05279064592090124, 'win_rate': 0.4468232044198895, 'avg_trade_return': -0.00021742435588362468, 'profit_factor': 0.8449284544482472, 'expectancy': -0.00021742435588362435, 'avg_win': 0.00265130868186538, 'avg_loss': -0.0025346157109692744, 'gross_profit': 1.715396717166901, 'gross_loss': -2.030227184486389, 'max_drawdown': -0.29694404422736365, 'max_drawdown_duration': 1326}","{'chop': 9467, 'trend_down': 4305, 'trend_up': 3796}","{'chop': 10426, 'trend_down': 4140, 'trend_up': 3002}","{-1: 6864, 1: 6863, 0: 3841}","{1: 8298, -1: 8192, 0: 1078}"
6,2022-05-28 23:55:00+00:00,2023-05-28 22:55:00+00:00,2023-05-28 23:55:00+00:00,2023-07-28 23:55:00+00:00,105108,"{'chop': 59827, 'trend_down': 24011, 'trend_up': 21270}","{1: 43011, -1: 42465, 0: 19632}",49,17568,0.7919512750455373,0.5675091074681239,-0.21290207540006467,0.04981993672542462,-0.22460426461474714,1418,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.28800000000000003, 'samples': 1440, 'trade_count': 1440, 'trade_rate': 0.08196721311475409, 'turnover': 0.16393442622950818, 'cumulative_return': -0.21290207540006467, 'gross_cumulative_return': 0.04981993672542462, 'gross_mean_return': 4.140329029824999e-05, 'gross_volatility': 0.003917761782401508, 'gross_sharpe_like': 0.010568097959460572, 'cost_impact': 0.2627220121254893, 'mean_return': -0.00015859670970175, 'volatility': 0.003917761782401508, 'sharpe_like': -0.040481458166793764, 'win_rate': 0.45069444444444445, 'avg_trade_return': -0.00015859670970175, 'profit_factor': 0.8758421814796625, 'expectancy': -0.00015859670970174962, 'avg_win': 0.002482354215113518, 'avg_loss': -0.002325445192894049, 'gross_profit': 1.6110478856086734, 'gross_loss': -1.8394271475791928, 'max_drawdown': -0.22460426461474714, 'max_drawdown_duration': 1418}","{'chop': 10035, 'trend_down': 4137, 'trend_up': 3396}","{'chop': 10741, 'trend_down': 3759, 'trend_up': 3068}","{1: 6792, -1: 6442, 0: 4334}","{-1: 7917, 1: 7763, 0: 1888}"
8,2022-07-28 23:55:00+00:00,2023-07-28 22:55:00+00:00,2023-07-28 23:55:00+00:00,2023-09-28 23:55:00+00:00,105108,"{'chop': 59891, 'trend_down': 23969, 'trend_up': 21248}","{1: 42011, -1: 40833, 0: 22264}",49,17856,0.7969870071684588,0.5672603046594982,-0.2008683855418203,0.05104965855285659,-0.2231983624313828,1282,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.274, 'samples': 1370, 'trade_count': 1370, 'trade_rate': 0.07672491039426524, 'turnover': 0.15344982078853048, 'cumulative_return': -0.2008683855418203, 'gross_cumulative_return': 0.05104965855285659, 'gross_mean_return': 4.1929518219328273e-05, 'gross_volatility': 0.0033580700372046446, 'gross_sharpe_like': 0.01248619527132663, 'cost_impact': 0.2519180440946769, 'mean_return': -0.0001580704817806717, 'volatility': 0.0033580700372046446, 'sharpe_like': -0.04707182400288893, 'win_rate': 0.44306569343065694, 'avg_trade_return': -0.0001580704817806717, 'profit_factor': 0.8474619540623779, 'expectancy': -0.00015807048178067163, 'avg_win': 0.001982095997416011, 'avg_loss': -0.001860666881351296, 'gross_profit': 1.2031322704315186, 'gross_loss': -1.4196888304710389, 'max_drawdown': -0.2231983624313828, 'max_drawdown_duration': 1282}","{'chop': 10958, 'trend_down': 4046, 'trend_up': 2852}","{'chop': 10390, 'trend_down': 4551, 'trend_up': 2915}","{-1: 6221, 0: 5878, 1: 5757}","{-1: 6922, 1: 6636, 0: 4298}"
9,2022-08-28 23:55:00+00:00,2023-08-28 22:55:00+00:00,2023-08-28 23:55:00+00:00,2023-10-28 23:55:00+00:00,105108,"{'chop': 59622, 'trend_down': 24272, 'trend_up': 21214}","{1: 40872, -1: 40125, 0: 24111}",49,17568,0.8004895264116576,0.5867486338797814,-0.22090741040359008,0.023675634062521933,-0.2760338272455235,1341,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.273, 'samples': 1365, 'trade_count': 1365, 'trade_rate': 0.07769808743169399, 'turnover': 0.15539617486338797, 'cumulative_return': -0.22090741040359008, 'gross_cumulative_return': 0.023675634062521933, 'gross_mean_return': 2.6258968171619232e-05, 'gross_volatility': 0.004286236291978484, 'gross_sharpe_like': 0.006126346375434742, 'cost_impact': 0.244583044466112, 'mean_return': -0.0001737410318283808, 'volatility': 0.004286236291978484, 'sharpe_like': -0.04053463691526527, 'win_rate': 0.452014652014652, 'avg_trade_return': -0.0001737410318283808, 'profit_factor': 0.8660169320661206, 'expectancy': -0.00017374103182838069, 'avg_win': 0.002484427621492111, 'avg_loss': -0.002366374800676968, 'gross_profit': 1.5328918424606324, 'gross_loss': -1.770048350906372, 'max_drawdown': -0.2760338272455235, 'max_drawdown_duration': 1341}","{'chop': 10972, 'trend_down': 3396, 'trend_up': 3200}","{'chop': 10314, 'trend_down': 3837, 'trend_up': 3417}","{1: 6682, -1: 6125, 0: 4761}","{1: 7185, -1: 7158, 0: 3225}"
11,2022-10-28 23:55:00+00:00,2023-10-28 22:55:00+00:00,2023-10-28 23:55:00+00:00,2023-12-28 23:55:00+00:00,105108,"{'chop': 59695, 'trend_down': 24337, 'trend_up': 21076}","{1: 40237, -1: 38974, 0: 25897}",49,17568,0.774931693989071,0.5944899817850637,-0.317488542384725,-0.08764485669365774,-0.3348444351496064,1332,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.2902, 'samples': 1451, 'trade_count': 1451, 'trade_rate': 0.08259335154826958, 'turnover': 0.16518670309653916, 'cumulative_return': -0.317488542384725, 'gross_cumulative_return': -0.08764485669365774, 'gross_mean_return': -5.4105572007098417e-05, 'gross_volatility': 0.004274979862819372, 'gross_sharpe_like': -0.012656333770755004, 'cost_impact': 0.22984368569106728, 'mean_return': -0.00025410557200709834, 'volatility': 0.004274979862819372, 'sharpe_like': -0.05944017987479228, 'win_rate': 0.43487250172294967, 'avg_trade_return': -0.00025410557200709834, 'profit_factor': 0.8388580861628453, 'expectancy': -0.0002541055720070983, 'avg_win': 0.0030418109535604197, 'avg_loss': -0.0027903535325352734, 'gross_profit': 1.9193827116966249, 'gross_loss': -2.2880898966789243, 'max_drawdown': -0.3348444351496064, 'max_drawdown_duration': 1332}","{'chop': 10168, 'trend_down': 3878, 'trend_up': 3522}","{'chop': 10180, 'trend_down': 4398, 'trend_up': 2990}","{1: 7549, -1: 6875, 0: 3144}","{1: 9005, -1: 7747, 0: 816}"
