window,train_start,train_end,val_start,val_end,train_samples,regime_dist,blend_dist,feature_count,val_samples,regime_accuracy,blend_accuracy,cumulative_return,gross_cumulative_return,max_drawdown,max_drawdown_duration,return_metrics,regime_dist_true,regime_dist_pred,blend_dist_true,blend_dist_pred
1,2021-12-31 23:55:00+00:00,2022-12-31 21:55:00+00:00,2022-12-31 23:55:00+00:00,2023-02-28 23:55:00+00:00,105096,"{'chop': 61042, 'trend_down': 24023, 'trend_up': 20031}","{-1: 48060, 1: 47361, 0: 9675}",49,16992,0.7816031073446328,0.4812264595103578,0.08503881925090484,0.2495562953591668,-0.12982283723245347,529,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.14120000000000002, 'samples': 706, 'trade_count': 706, 'trade_rate': 0.04154896421845575, 'turnover': 0.0830979284369115, 'cumulative_return': 0.08503881925090484, 'gross_cumulative_return': 0.2495562953591668, 'gross_mean_return': 0.00033830659247660437, 'gross_volatility': 0.006749331093224158, 'gross_sharpe_like': 0.05012446238061129, 'cost_impact': 0.16451747610826195, 'mean_return': 0.00013830659247660452, 'volatility': 0.006749331093224159, 'sharpe_like': 0.02049189624368174, 'win_rate': 0.5198300283286119, 'avg_trade_return': 0.00013830659247660452, 'profit_factor': 1.0681109712709618, 'expectancy': 0.00013830659247660504, 'avg_win': 0.004172350851261649, 'avg_loss': -0.004228933062314284, 'gross_profit': 1.531252762413025, 'gross_loss': -1.433608308124542, 'max_drawdown': -0.12982283723245347, 'max_drawdown_duration': 529}","{'chop': 9395, 'trend_down': 3834, 'trend_up': 3763}","{'chop': 11051, 'trend_up': 3115, 'trend_down': 2826}","{1: 7747, -1: 6910, 0: 2335}","{-1: 8619, 1: 8081, 0: 292}"
3,2022-02-28 23:55:00+00:00,2023-02-28 21:55:00+00:00,2023-02-28 23:55:00+00:00,2023-04-28 23:55:00+00:00,105096,"{'chop': 60339, 'trend_down': 24214, 'trend_up': 20543}","{1: 47103, -1: 47091, 0: 10902}",49,16992,0.813382768361582,0.4925258945386064,-0.30952451690251714,-0.20459961226885626,-0.4148563092191666,599,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.1414, 'samples': 707, 'trade_count': 707, 'trade_rate': 0.0416078154425612, 'turnover': 0.0832156308851224, 'cumulative_return': -0.30952451690251714, 'gross_cumulative_return': -0.20459961226885626, 'gross_mean_return': -0.00028715654680718796, 'gross_volatility': 0.008528307977364853, 'gross_sharpe_like': -0.03367098697295357, 'cost_impact': 0.10492490463366089, 'mean_return': -0.0004871565468071878, 'volatility': 0.008528307977364853, 'sharpe_like': -0.05712229765859293, 'win_rate': 0.4738330975954738, 'avg_trade_return': -0.0004871565468071878, 'profit_factor': 0.8247167881257919, 'expectancy': -0.0004871565468071875, 'avg_win': 0.004837351686563065, 'avg_loss': -0.00528207659567556, 'gross_profit': 1.620512814998627, 'gross_loss': -1.9649324935913084, 'max_drawdown': -0.4148563092191666, 'max_drawdown_duration': 599}","{'chop': 9620, 'trend_down': 3860, 'trend_up': 3512}","{'chop': 10955, 'trend_down': 3261, 'trend_up': 2776}","{1: 7673, -1: 7345, 0: 1974}","{-1: 8562, 1: 8364, 0: 66}"
4,2022-03-28 23:55:00+00:00,2023-03-28 21:55:00+00:00,2023-03-28 23:55:00+00:00,2023-05-28 23:55:00+00:00,105096,"{'chop': 60313, 'trend_down': 24194, 'trend_up': 20589}","{-1: 47181, 1: 46766, 0: 11149}",49,17568,0.8125569216757741,0.49003870673952643,0.08990955119005273,0.2612023417347482,-0.13236011439787154,259,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.14600000000000002, 'samples': 730, 'trade_count': 730, 'trade_rate': 0.0415528233151184, 'turnover': 0.0831056466302368, 'cumulative_return': 0.08990955119005273, 'gross_cumulative_return': 0.2612023417347482, 'gross_mean_return': 0.00033584702504824284, 'gross_volatility': 0.005996048436882512, 'gross_sharpe_like': 0.05601139293378652, 'cost_impact': 0.17129279054469548, 'mean_return': 0.000135847025048243, 'volatility': 0.005996048436882512, 'sharpe_like': 0.022656092004298932, 'win_rate': 0.5068493150684932, 'avg_trade_return': 0.000135847025048243, 'profit_factor': 1.0741869312968098, 'expectancy': 0.00013584702504824378, 'avg_win': 0.003880822016741779, 'avg_loss': -0.0037131550497478904, 'gross_profit': 1.4359041461944582, 'gross_loss': -1.3367358179092406, 'max_drawdown': -0.13236011439787154, 'max_drawdown_duration': 259}","{'chop': 9869, 'trend_down': 4048, 'trend_up': 3651}","{'chop': 11014, 'trend_down': 3670, 'trend_up': 2884}","{1: 7630, -1: 7599, 0: 2339}","{1: 9272, -1: 8105, 0: 191}"
6,2022-05-28 23:55:00+00:00,2023-05-28 21:55:00+00:00,2023-05-28 23:55:00+00:00,2023-07-28 23:55:00+00:00,105096,"{'chop': 59827, 'trend_down': 24011, 'trend_up': 21258}","{-1: 46554, 1: 46509, 0: 12033}",49,17568,0.7968465391621129,0.48645264116575593,0.014449106864067085,0.1741334473842202,-0.1518026648099874,623,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.1462, 'samples': 731, 'trade_count': 731, 'trade_rate': 0.04160974499089253, 'turnover': 0.08321948998178506, 'cumulative_return': 0.014449106864067085, 'gross_cumulative_return': 0.1741334473842202, 'gross_mean_return': 0.0002343823417266971, 'gross_volatility': 0.005436200092027965, 'gross_sharpe_like': 0.043115105728064027, 'cost_impact': 0.15968434052015312, 'mean_return': 3.43823417266972e-05, 'volatility': 0.005436200092027965, 'sharpe_like': 0.006324701288519152, 'win_rate': 0.506155950752394, 'avg_trade_return': 3.43823417266972e-05, 'profit_factor': 1.0207149357297345, 'expectancy': 3.438234172669719e-05, 'avg_win': 0.0033471254103892563, 'avg_loss': -0.00336094988931249, 'gross_profit': 1.2384364018440248, 'gross_loss': -1.213302910041809, 'max_drawdown': -0.1518026648099874, 'max_drawdown_duration': 623}","{'chop': 10035, 'trend_down': 4137, 'trend_up': 3396}","{'chop': 10715, 'trend_down': 3775, 'trend_up': 3078}","{1: 7754, -1: 7232, 0: 2582}","{-1: 8750, 1: 8634, 0: 184}"
7,2022-06-28 23:55:00+00:00,2023-06-28 21:55:00+00:00,2023-06-28 23:55:00+00:00,2023-08-28 23:55:00+00:00,105096,"{'chop': 59207, 'trend_down': 24297, 'trend_up': 21592}","{1: 46561, -1: 45983, 0: 12552}",49,17568,0.7883652094717668,0.4454690346083789,-0.1900879989305564,-0.0627457801308775,-0.1997380275401427,725,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.14600000000000002, 'samples': 730, 'trade_count': 730, 'trade_rate': 0.0415528233151184, 'turnover': 0.0831056466302368, 'cumulative_return': -0.1900879989305564, 'gross_cumulative_return': -0.0627457801308775, 'gross_mean_return': -7.932659697859254e-05, 'gross_volatility': 0.004327794582176451, 'gross_sharpe_like': -0.018329566127119445, 'cost_impact': 0.12734221879967889, 'mean_return': -0.00027932659697859247, 'volatility': 0.004327794582176451, 'sharpe_like': -0.06454248039612798, 'win_rate': 0.48356164383561645, 'avg_trade_return': -0.00027932659697859247, 'profit_factor': 0.7910042096520209, 'expectancy': -0.00027932659697859166, 'avg_win': 0.0021862594585580807, 'avg_loss': -0.0025879522670169087, 'gross_profit': 0.7717495888710024, 'gross_loss': -0.9756580046653747, 'max_drawdown': -0.1997380275401427, 'max_drawdown_duration': 725}","{'chop': 10676, 'trend_down': 4040, 'trend_up': 2852}","{'chop': 10098, 'trend_down': 4559, 'trend_up': 2911}","{-1: 7105, 1: 6886, 0: 3577}","{-1: 10318, 1: 7029, 0: 221}"
9,2022-08-28 23:55:00+00:00,2023-08-28 21:55:00+00:00,2023-08-28 23:55:00+00:00,2023-10-28 23:55:00+00:00,105096,"{'chop': 59610, 'trend_down': 24272, 'trend_up': 21214}","{1: 45359, -1: 44826, 0: 14911}",49,17568,0.7995218579234973,0.47318989071038253,0.1580846527594464,0.3379331778745207,-0.0837260546161458,263,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.1444, 'samples': 722, 'trade_count': 722, 'trade_rate': 0.04109744990892532, 'turnover': 0.08219489981785064, 'cumulative_return': 0.1580846527594464, 'gross_cumulative_return': 0.3379331778745207, 'gross_mean_return': 0.00041948378581419546, 'gross_volatility': 0.005710489147442754, 'gross_sharpe_like': 0.07345846826485028, 'cost_impact': 0.17984852511507432, 'mean_return': 0.0002194837858141955, 'volatility': 0.005710489147442754, 'sharpe_like': 0.038435198832745134, 'win_rate': 0.481994459833795, 'avg_trade_return': 0.0002194837858141955, 'profit_factor': 1.1461791275531832, 'expectancy': 0.00021948378581419618, 'avg_win': 0.003570487575695433, 'avg_loss': -0.0028985625213480246, 'gross_profit': 1.2425296763420106, 'gross_loss': -1.0840623829841611, 'max_drawdown': -0.0837260546161458, 'max_drawdown_duration': 263}","{'chop': 10972, 'trend_down': 3396, 'trend_up': 3200}","{'chop': 10343, 'trend_down': 3820, 'trend_up': 3405}","{1: 7658, -1: 6984, 0: 2926}","{-1: 8557, 1: 8146, 0: 865}"
10,2022-09-28 23:55:00+00:00,2023-09-28 21:55:00+00:00,2023-09-28 23:55:00+00:00,2023-11-28 23:55:00+00:00,105096,"{'chop': 59808, 'trend_down': 24429, 'trend_up': 20859}","{1: 44766, -1: 44344, 0: 15986}",49,17568,0.7930327868852459,0.46043943533697634,0.05665215465385054,0.2219924289685431,-0.1312439504831865,425,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.1454, 'samples': 727, 'trade_count': 727, 'trade_rate': 0.041382058287795995, 'turnover': 0.08276411657559199, 'cumulative_return': 0.05665215465385054, 'gross_cumulative_return': 0.2219924289685431, 'gross_mean_return': 0.0002941239158913719, 'gross_volatility': 0.006065755861947537, 'gross_sharpe_like': 0.04848924397641967, 'cost_impact': 0.16534027431469256, 'mean_return': 9.412391589137206e-05, 'volatility': 0.006065755861947537, 'sharpe_like': 0.015517260838313994, 'win_rate': 0.5089408528198074, 'avg_trade_return': 9.412391589137206e-05, 'profit_factor': 1.0492531679392014, 'expectancy': 9.412391589137207e-05, 'avg_win': 0.003939841891623832, 'avg_loss': -0.0038916342102178997, 'gross_profit': 1.457741499900818, 'gross_loss': -1.3893134130477902, 'max_drawdown': -0.1312439504831865, 'max_drawdown_duration': 425}","{'chop': 10431, 'trend_down': 3758, 'trend_up': 3379}","{'chop': 9497, 'trend_down': 4133, 'trend_up': 3938}","{1: 8225, -1: 7115, 0: 2228}","{-1: 9876, 1: 7175, 0: 517}"
