window,train_start,train_end,val_start,val_end,train_samples,regime_dist,blend_dist,feature_count,val_samples,regime_accuracy,blend_accuracy,cumulative_return,gross_cumulative_return,max_drawdown,max_drawdown_duration,return_metrics,regime_dist_true,regime_dist_pred,blend_dist_true,blend_dist_pred
1,2017-01-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,1086,"{'chop': 641, 'trend_up': 337, 'trend_down': 108}","{1: 755, -1: 311, 0: 20}",49,186,0.6774193548387096,0.1935483870967742,0.15585196018218994,0.1569819450378418,-0.10680633783340454,2,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.001, 'samples': 5, 'trade_count': 5, 'trade_rate': 0.026881720430107527, 'turnover': 0.053763440860215055, 'cumulative_return': 0.15585196018218994, 'gross_cumulative_return': 0.1569819450378418, 'gross_mean_return': 0.035878874361515045, 'gross_volatility': 0.12967433035373688, 'gross_sharpe_like': 0.27668447767296384, 'cost_impact': 0.0011299848556518555, 'mean_return': 0.03567887097597122, 'volatility': 0.12967433035373688, 'sharpe_like': 0.2751421262685013, 'win_rate': 0.6, 'avg_trade_return': 0.03567887097597122, 'profit_factor': 2.2204115609934516, 'expectancy': 0.035678869485855094, 'avg_win': 0.10818997025489807, 'avg_loss': -0.07308778166770935, 'gross_profit': 0.3245699107646942, 'gross_loss': -0.1461755633354187, 'max_drawdown': -0.10680633783340454, 'max_drawdown_duration': 2}","{'chop': 125, 'trend_down': 37, 'trend_up': 24}","{'chop': 143, 'trend_up': 26, 'trend_down': 17}","{-1: 87, 1: 82, 0: 17}","{0: 80, 1: 70, -1: 36}"
2,2017-02-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,2017-08-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,1086,"{'chop': 654, 'trend_up': 316, 'trend_down': 116}","{1: 730, -1: 338, 0: 18}",49,186,0.5591397849462365,0.3172043010752688,-0.31868165731430054,-0.31766635179519653,-0.23219329118728638,5,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0014, 'samples': 7, 'trade_count': 7, 'trade_rate': 0.03763440860215054, 'turnover': 0.07526881720430108, 'cumulative_return': -0.31868165731430054, 'gross_cumulative_return': -0.31766635179519653, 'gross_mean_return': -0.04667240381240845, 'gross_volatility': 0.11890044808387756, 'gross_sharpe_like': -0.39253345605126483, 'cost_impact': 0.001015305519104004, 'mean_return': -0.04687240719795227, 'volatility': 0.11890044808387756, 'sharpe_like': -0.3942155639723614, 'win_rate': 0.42857142857142855, 'avg_trade_return': -0.04687240719795227, 'profit_factor': 0.38314079920786986, 'expectancy': -0.04687240613358361, 'avg_win': 0.06793075054883957, 'avg_loss': -0.132974773645401, 'gross_profit': 0.2037922441959381, 'gross_loss': -0.531899094581604, 'max_drawdown': -0.23219329118728638, 'max_drawdown_duration': 5}","{'chop': 117, 'trend_up': 69}","{'trend_up': 131, 'chop': 35, 'trend_down': 20}","{1: 140, -1: 28, 0: 18}","{-1: 139, 1: 35, 0: 12}"
3,2017-03-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,1104,"{'chop': 669, 'trend_up': 322, 'trend_down': 113}","{1: 744, -1: 341, 0: 19}",49,180,0.8388888888888889,0.42777777777777776,0.00033211708068847656,0.0015349388122558594,-0.1356945037841797,4,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03333333333333333, 'turnover': 0.06666666666666667, 'cumulative_return': 0.00033211708068847656, 'gross_cumulative_return': 0.0015349388122558594, 'gross_mean_return': 0.0018527308711782098, 'gross_volatility': 0.062212880700826645, 'gross_sharpe_like': 0.029780502852580364, 'cost_impact': 0.0012028217315673828, 'mean_return': 0.0016527300467714667, 'volatility': 0.06221288442611694, 'sharpe_like': 0.026565719657866423, 'win_rate': 0.5, 'avg_trade_return': 0.0016527300467714667, 'profit_factor': 1.0701174918632328, 'expectancy': 0.0016527287662029266, 'avg_win': 0.050447117537260056, 'avg_loss': -0.0471416600048542, 'gross_profit': 0.15134134888648987, 'gross_loss': -0.1414249837398529, 'max_drawdown': -0.1356945037841797, 'max_drawdown_duration': 4}","{'chop': 156, 'trend_down': 12, 'trend_up': 12}","{'chop': 161, 'trend_up': 19}","{-1: 90, 1: 73, 0: 17}","{-1: 63, 1: 62, 0: 55}"
4,2017-04-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,2017-10-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,1098,"{'chop': 677, 'trend_up': 333, 'trend_down': 88}","{1: 732, -1: 347, 0: 19}",49,186,0.5053763440860215,0.44086021505376344,0.0315326452255249,0.03277158737182617,-0.18715906143188477,5,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03225806451612903, 'turnover': 0.06451612903225806, 'cumulative_return': 0.0315326452255249, 'gross_cumulative_return': 0.03277158737182617, 'gross_mean_return': 0.010500540025532246, 'gross_volatility': 0.1069801077246666, 'gross_sharpe_like': 0.09815413583763963, 'cost_impact': 0.0012389421463012695, 'mean_return': 0.010300538502633572, 'volatility': 0.1069801077246666, 'sharpe_like': 0.09628461516550293, 'win_rate': 0.6666666666666666, 'avg_trade_return': 0.010300538502633572, 'profit_factor': 1.3283285952134116, 'expectancy': 0.010300536950429276, 'avg_win': 0.06250977516174316, 'avg_loss': -0.09411793947219849, 'gross_profit': 0.25003910064697266, 'gross_loss': -0.18823587894439697, 'max_drawdown': -0.18715906143188477, 'max_drawdown_duration': 5}","{'chop': 135, 'trend_up': 51}","{'trend_up': 137, 'chop': 49}","{1: 115, -1: 53, 0: 18}","{1: 116, 0: 55, -1: 15}"
5,2017-05-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,2017-11-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,1104,"{'chop': 711, 'trend_up': 305, 'trend_down': 88}","{1: 712, -1: 372, 0: 20}",49,180,0.5611111111111111,0.19444444444444445,-0.33591926097869873,-0.33506256341934204,-0.2569209933280945,3,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03333333333333333, 'turnover': 0.06666666666666667, 'cumulative_return': -0.33591926097869873, 'gross_cumulative_return': -0.33506256341934204, 'gross_mean_return': -0.06235650181770325, 'gross_volatility': 0.08903603255748749, 'gross_sharpe_like': -0.700351307516334, 'cost_impact': 0.0008566975593566895, 'mean_return': -0.06255650520324707, 'volatility': 0.08903603255748749, 'sharpe_like': -0.7025976271219913, 'win_rate': 0.16666666666666666, 'avg_trade_return': -0.06255650520324707, 'profit_factor': 0.19830957566568097, 'expectancy': -0.06255650520324707, 'avg_win': 0.09284546971321106, 'avg_loss': -0.0936369001865387, 'gross_profit': 0.09284546971321106, 'gross_loss': -0.4681845009326935, 'max_drawdown': -0.2569209933280945, 'max_drawdown_duration': 3}","{'chop': 100, 'trend_up': 63, 'trend_down': 17}","{'chop': 179, 'trend_down': 1}","{1: 119, -1: 43, 0: 18}","{-1: 96, 0: 72, 1: 12}"
6,2017-06-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,2017-12-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,1098,"{'chop': 661, 'trend_up': 339, 'trend_down': 98}","{1: 696, -1: 381, 0: 21}",49,186,0.45161290322580644,0.27956989247311825,0.25667476654052734,0.2581443786621094,-0.25645577907562256,3,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03225806451612903, 'turnover': 0.06451612903225806, 'cumulative_return': 0.25667476654052734, 'gross_cumulative_return': 0.2581443786621094, 'gross_mean_return': 0.05095723271369934, 'gross_volatility': 0.1735607087612152, 'gross_sharpe_like': 0.29359889733918, 'cost_impact': 0.0014696121215820312, 'mean_return': 0.050757233053445816, 'volatility': 0.1735607087612152, 'sharpe_like': 0.2924465647537635, 'win_rate': 0.6666666666666666, 'avg_trade_return': 0.050757233053445816, 'profit_factor': 2.1103490345114144, 'expectancy': 0.05075723926226297, 'avg_win': 0.1447051614522934, 'avg_loss': -0.13713860511779785, 'gross_profit': 0.5788206458091736, 'gross_loss': -0.2742772102355957, 'max_drawdown': -0.25645577907562256, 'max_drawdown_duration': 3}","{'chop': 153, 'trend_up': 28, 'trend_down': 5}","{'trend_up': 125, 'chop': 61}","{1: 118, -1: 51, 0: 17}","{1: 112, 0: 74}"
7,2017-07-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,1104,"{'chop': 669, 'trend_up': 362, 'trend_down': 73}","{1: 729, -1: 354, 0: 21}",49,186,0.8172043010752689,0.13978494623655913,-0.23242545127868652,-0.2316107153892517,-0.3041464686393738,4,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.001, 'samples': 5, 'trade_count': 5, 'trade_rate': 0.026881720430107527, 'turnover': 0.053763440860215055, 'cumulative_return': -0.23242545127868652, 'gross_cumulative_return': -0.2316107153892517, 'gross_mean_return': -0.04547534137964249, 'gross_volatility': 0.11731833964586258, 'gross_sharpe_like': -0.38762346549494703, 'cost_impact': 0.0008147358894348145, 'mean_return': -0.04567534476518631, 'volatility': 0.11731833964586258, 'sharpe_like': -0.3893282576540208, 'win_rate': 0.6, 'avg_trade_return': -0.04567534476518631, 'profit_factor': 0.31253120861466316, 'expectancy': -0.04567534327507019, 'avg_win': 0.03460755944252014, 'avg_loss': -0.1660996973514557, 'gross_profit': 0.10382267832756042, 'gross_loss': -0.3321993947029114, 'max_drawdown': -0.3041464686393738, 'max_drawdown_duration': 4}","{'chop': 152, 'trend_down': 24, 'trend_up': 10}",{'chop': 186},"{-1: 110, 1: 59, 0: 17}","{1: 127, 0: 59}"
8,2017-08-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,2018-02-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,1104,"{'chop': 724, 'trend_up': 332, 'trend_down': 48}","{1: 698, -1: 384, 0: 22}",49,168,0.875,0.3630952380952381,-0.34424668550491333,-0.3433923125267029,-0.4612042307853699,5,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03571428571428571, 'turnover': 0.07142857142857142, 'cumulative_return': -0.34424668550491333, 'gross_cumulative_return': -0.3433923125267029, 'gross_mean_return': -0.056713152676820755, 'gross_volatility': 0.16155122220516205, 'gross_sharpe_like': -0.351053689985693, 'cost_impact': 0.0008543729782104492, 'mean_return': -0.05691315606236458, 'volatility': 0.16155122220516205, 'sharpe_like': -0.3522917083851442, 'win_rate': 0.16666666666666666, 'avg_trade_return': -0.05691315606236458, 'profit_factor': 0.38863439623721524, 'expectancy': -0.05691315109531085, 'avg_win': 0.21707215905189514, 'avg_loss': -0.11171021312475204, 'gross_profit': 0.21707215905189514, 'gross_loss': -0.5585510730743408, 'max_drawdown': -0.4612042307853699, 'max_drawdown_duration': 5}","{'chop': 131, 'trend_up': 33, 'trend_down': 4}","{'chop': 134, 'trend_up': 32, 'trend_down': 2}","{1: 92, -1: 59, 0: 17}","{1: 84, -1: 79, 0: 5}"
9,2017-09-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,2018-03-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,1086,"{'chop': 726, 'trend_up': 278, 'trend_down': 82}","{1: 637, -1: 429, 0: 20}",49,186,0.7150537634408602,0.1774193548387097,-0.2842714190483093,-0.28335803747177124,-0.19160330295562744,5,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0012000000000000001, 'samples': 6, 'trade_count': 6, 'trade_rate': 0.03225806451612903, 'turnover': 0.06451612903225806, 'cumulative_return': -0.2842714190483093, 'gross_cumulative_return': -0.28335803747177124, 'gross_mean_return': -0.04865914583206177, 'gross_volatility': 0.11493377387523651, 'gross_sharpe_like': -0.4233668154400158, 'cost_impact': 0.0009133815765380859, 'mean_return': -0.04885914921760559, 'volatility': 0.11493377387523651, 'sharpe_like': -0.4251069774376627, 'win_rate': 0.16666666666666666, 'avg_trade_return': -0.04885914921760559, 'profit_factor': 0.3619703107362461, 'expectancy': -0.048859146734078734, 'avg_win': 0.16631415486335754, 'avg_loss': -0.09189380705356598, 'gross_profit': 0.16631415486335754, 'gross_loss': -0.4594690501689911, 'max_drawdown': -0.19160330295562744, 'max_drawdown_duration': 5}","{'chop': 145, 'trend_down': 41}","{'chop': 122, 'trend_down': 53, 'trend_up': 11}","{-1: 118, 1: 51, 0: 17}","{0: 96, 1: 86, -1: 4}"
10,2017-10-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,2018-05-01 00:00:00+00:00,1092,"{'chop': 738, 'trend_up': 247, 'trend_down': 107}","{1: 613, -1: 459, 0: 20}",49,180,0.8444444444444444,0.05,-0.0658525824546814,-0.06527864933013916,-0.07875704765319824,2,"{'eval_mode': 'nonoverlap', 'transaction_cost_bps': 1.0, 'total_cost': 0.0006000000000000001, 'samples': 3, 'trade_count': 3, 'trade_rate': 0.016666666666666666, 'turnover': 0.03333333333333333, 'cumulative_return': -0.0658525824546814, 'gross_cumulative_return': -0.06527864933013916, 'gross_mean_return': -0.02139892242848873, 'gross_volatility': 0.04951341450214386, 'gross_sharpe_like': -0.4321843412266021, 'cost_impact': 0.0005739331245422363, 'mean_return': -0.021598925814032555, 'volatility': 0.04951341450214386, 'sharpe_like': -0.43622371899028195, 'win_rate': 0.6666666666666666, 'avg_trade_return': -0.021598925814032555, 'profit_factor': 0.1772572159656587, 'expectancy': -0.021598922709623977, 'avg_win': 0.006980124861001968, 'avg_loss': -0.07875701785087585, 'gross_profit': 0.013960249722003937, 'gross_loss': -0.07875701785087585, 'max_drawdown': -0.07875704765319824, 'max_drawdown_duration': 2}","{'chop': 120, 'trend_up': 60}","{'chop': 124, 'trend_up': 46, 'trend_down': 10}","{1: 123, -1: 36, 0: 21}","{0: 105, -1: 73, 1: 2}"
